,saga,books,number,finished
1456,Key Trilogy,"['Key of Knowledge', 'Key of Light', 'Key of Valor']",3,No
1457,Halfblood Chronicles,"['The Elvenbane', 'Elvenblood', 'Elvenborn']",3,Yes
1458,Silence,"['Silence', 'Broken Silence']",2,Yes
1459,The Cinder Spires,"[""The Aeronaut's Windlass""]",1,Yes
1460,The Circle Reforged,"['The Will of the Empress', 'Melting Stones']",2,No
1461,Cody Gunner,['Just Beyond the Clouds'],1,Yes
1462,Through a Glass Darkly,"['Through a Glass Darkly', 'Now Face to Face']",2,Yes
1463,The Gideon Trilogy,"['Gideon the Cutpurse', 'The Time Thief']",2,Yes
1464,St. Leger,"['The Bride Finder', 'Midnight Bride', 'The Night Drifter']",3,No
1465,Daughters,['The Daughters'],1,Yes
1466,Haunting Violet,['Haunting Violet'],1,Yes
1467,Jack Blank Adventure,['The Accidental Hero'],1,Yes
1468,Soulfinders,"['Shadow Study', 'Dawn Study', 'Night Study']",3,No
1469,The Red Queen's War,"[""The Liar's Key"", 'The Wheel of Osheim', 'Prince of Fools']",3,No
1470,Kleopatra,['Kleopatra'],1,No
1471,Deep Valley,"[""Carney's House Party"", 'Emily of Deep Valley']",2,Yes
1472,Elfhome,['Tinker'],1,No
1473,Children of the Lamp,"['The Akhenaten Adventure', 'The Blue Djinn of Babylon', 'The Cobra King of Kathmandu', 'The Day of the Djinn Warriors', 'The Eye Of The Forest']",5,Yes
1474,The Little Lady Agency,"['The Little Lady Agency', 'Little Lady, Big Apple', 'The Little Lady Agency and the Prince']",3,Yes
1475,Elizabeth I,['The Lady Elizabeth'],1,No
1476,Faerie Tale Collection,['Beauty and the Beast'],1,No
1477,Women of Genesis,['Sarah'],1,No
1478,Kefahuchi Tract,['Light'],1,Yes
1479,Vampire Kisses: Blood Relatives,"['Vampire Kisses: Blood Relatives, Vol. 1']",1,No
1480,The Last Vampire,"['The Last Vampire', 'Creatures of Forever', 'Phantom', 'Red Dice', 'Black Blood']",5,Yes
1481,"All My Love, Detrick","['All My Love, Detrick', 'You Are My Sunshine']",2,No
1482,The Darcy Saga,"['Loving Mr. Darcy: Journeys Beyond Pemberley', 'Mr. & Mrs. Fitzwilliam Darcy: Two Shall Become One', 'In the Arms of Mr. Darcy', 'The Trouble with Mr. Darcy', 'My Dearest Mr. Darcy']",5,Yes
1483,Nobody's Princess,"[""Nobody's Princess""]",1,Yes
1484,I Hunt Killers,['Game'],1,No
1485,Sianim,"['Wolfsbane', 'Masques', 'When Demons Walk']",3,No
1486,Searching For,['Searching for Perfect'],1,No
1487,Generation Dead,['Generation Dead'],1,No
1488,Nightshade Prequel,['Rise'],1,Yes
1489,The Girl at Midnight,['The Girl at Midnight'],1,Yes
1490,Blossom Street,"['The Shop on Blossom Street', 'Back on Blossom Street', 'Twenty Wishes', 'Summer on Blossom Street']",4,Yes
1491,Women of the West,"['Roses for Mama', 'Heart of the Wilderness', 'They Called Her Mrs. Doc']",3,No
1492,The Soulkeepers,"['The Soulkeepers', 'Weaving Destiny']",2,No
1493,Dreaming Anastasia,['Dreaming Anastasia'],1,Yes
1494,The Tale of Lanen Kaelar,"['Song in the Silence', 'The Lesser Kindred', 'Redeeming the Lost']",3,No
1495,Capitol Theatre,"[""Because You're Mine"", ""Somewhere I'll Find You""]",2,No
1496,The Other Life,['The Other Life'],1,No
1497,Brown Family,"['Laid Bare', 'Coming Undone']",2,Yes
1498,Ice Planet Barbarians,['Ice Planet Barbarians'],1,Yes
1499,Aurelia,['Aurelia'],1,Yes
1500,Royal We,['The Royal We'],1,No
1501,Voyage of the Jerle Shannara,"['Antrax', 'Morgawr', 'Ilse Witch']",3,No
1502,Taj Mahal Trilogy,"['The Twentieth Wife', 'The Feast of Roses']",2,No
1503,The Remembrance Trilogy,['The Future of Our Past'],1,Yes
1504,The Murderbot Diaries,"['Rogue Protocol', 'Artificial Condition', 'Exit Strategy']",3,Yes
1505,GhostWalkers,"['Shadow Game', 'Murder Game', 'Street Game', 'Night Game', 'Mind Game', 'Ruthless Game']",6,No
1506,Dreamhouse Kings,['House of Dark Shadows'],1,Yes
1507,Star Wars: Clone Wars,"['Yoda: Dark Rendezvous', 'Shatterpoint']",2,No
1508,The Quantock Quartet,"[""Julia's Story"", ""Frances's Story""]",2,Yes
1509,The Shogun Quartet,['The Last Concubine'],1,No
1510,Highland Secrets,['When Fate Dictates'],1,No
1511,Ancient Legends,['Dead And Beyond'],1,No
1512,The Riddle in Stone,['Riddle in Stone'],1,Yes
1513,Surrender Your Love,"['Surrender Your Love', 'Conquer Your Love']",2,No
1514,Love at Last,['Untangle Me'],1,Yes
1515,The Chronicles of St Mary's,['Just One Damned Thing After Another'],1,No
1516,Percy Jackson and the Olympians: The Graphic Novels,"[""The Titan's Curse: The Graphic Novel"", 'The Sea of Monsters: The Graphic Novel']",2,Yes
1517,The Three Immortal Blades,['Possession of My Soul'],1,No
1518,Collide,"['Collide', 'Collide']",2,No
1519,The Arclight Saga,['The Reach Between Worlds'],1,No
1520,Blossom in Winter,['Blossom in Winter'],1,No
1521,Magdalene Line Trilogy,['The Book of Love'],1,Yes
1522,Brie,['Brie Learns the Art of Submission: Submissive Training Center'],1,Yes
1523,Bentwhistle the Dragon,['Bentwhistle the Dragon in a Threat from the Past'],1,Yes
1524,Famous,['Relatively Famous'],1,No
1525,Epic of the Kaurava Clan,['Ajaya: Roll of the Dice'],1,No
1526,Dead City,['Dead City'],1,No
1527,San Diego K-9 Unit,"['When the Right One Comes Along', 'When I Found You']",2,Yes
1528,Dreams & Shadows,['Dreams and Shadows'],1,No
1529,The Incorrigible Children of Ashton Place,"['The Mysterious Howling', 'The Hidden Gallery', 'The Interrupted Tale', 'The Long-Lost Home']",4,No
1530,Claybornes' Brides (Rose Hill),"['For the Roses', 'One Pink Rose', 'Come the Spring']",3,Yes
1531,Ohio Books,['Regularly Scheduled Life'],1,No
1532,Outside,['Outside'],1,No
1533,Medina,['The Jewel of Medina'],1,No
1534,Void,"['The Dreaming Void', 'The Evolutionary Void', 'The Temporal Void']",3,Yes
1535,Avalon Trilogy,"['Destined to Play', 'Destined to Feel', 'Destined to Fly']",3,No
1536,Woodcutter Sisters,['Enchanted'],1,No
1537,Savor Us,['Savor You'],1,No
1538,Coco Pinchard,"['Coco Pinchard, The Consequences Of Love And Sex', ""Coco Pinchard's Big Fat Tipsy Wedding"", 'The Not So Secret Emails Of Coco Pinchard']",3,No
1539,Sinners of Saint,['Vicious'],1,Yes
1540,What My Mother Doesn't Know,"[""What My Mother Doesn't Know"", ""What My Girlfriend Doesn't Know""]",2,No
1541,Nocni klub,['The Night Club: Part One'],1,Yes
1542,The Dark Legacy of Shannara,"['Bloodfire Quest', 'Wards of Faerie', 'Witch Wraith']",3,Yes
1543,Die Elfen,['The Elven'],1,Yes
1544,Shadowdance,"['A Dance of Cloaks', 'A Dance of Blades']",2,No
1545,Greywalker,"['Poltergeist', 'Vanished', 'Labyrinth', 'Greywalker', 'Underground', 'Seawitch', 'Downpour', 'Possession', 'Revenant']",9,No
1546,Painted Faces,['Painted Faces'],1,No
1547,Islands at the End of the World,"['The Islands at the End of the World', 'The Girl at the Center of the World']",2,No
1548,Come Back to Me,['Come Back to Me'],1,Yes
1549,The Next Together,['The Next Together'],1,No
1550,Paradox,"[""Fortune's Pawn""]",1,Yes
1551,The Austens,['A Thousand Letters'],1,No
1552,Jackpot,['The Peripheral'],1,Yes
1553,Reign of Secrets,['Cage of Darkness'],1,Yes
1554,Akata Witch,['Akata Witch'],1,Yes
1555,The Spinster Club,"['How Hard Can Love Be?', ""What's a Girl Gotta Do?"", 'Am I Normal Yet?']",3,Yes
1556,Bromance Book Club,"['The Bromance Book Club', 'Undercover Bromance']",2,No
1557,Fault Lines,['Last Call'],1,Yes
1558,Colshannon,['Playing James'],1,Yes
1559,Shelby Nichols,['Carrots'],1,Yes
1560,Flynn Laukonen,"['A Voice in the Distance', 'A Note of Madness']",2,Yes
1561,World of Warcraft,"['War Crimes', 'Shadows Rising', 'Before the Storm', 'The Shattering: Prelude to Cataclysm']",4,No
1562,Manwhore,['Manwhore'],1,No
1563,The Kissing Booth,['The Kissing Booth'],1,Yes
1564,Yu Yu Hakusho,"['Yu Yu Hakusho, Volume 1: Goodbye, Material World!']",1,No
1565,Feverwake,['The Fever King'],1,No
1566,Anybodies,"['The Nobodies', 'The Somebodies']",2,Yes
1567,Wars of Light and Shadow,"['The Curse of the Mistwraith', 'The Ships of Merior']",2,No
1568,Doppelganger,"['Warrior', 'Witch']",2,Yes
1569,Korre,['Talyn'],1,Yes
1570,Emi Lost & Found,['Lost and Found'],1,Yes
1571,The Pendragon Cycle,"['Taliesin', 'Pendragon', 'Arthur', 'Merlin']",4,No
1572,Daughters of Zeus,['Persephone'],1,Yes
1573,Creepy Hollow,"['The Faerie War', 'The Faerie Prince', 'The Faerie Guardian', ""A Faerie's Revenge"", ""A Faerie's Secret""]",5,Yes
1574,The Andrades,['Come Away with Me'],1,Yes
1575,Mind Games,"['Mind Games', 'Perfect Lies']",2,No
1576,Kanin Chronicles,"['Frostfire', 'Ice Kissed']",2,No
1577,Hellequin Chronicles,"['Crimes Against Magic', 'Born of Hatred']",2,No
1578,Beklan Empire,['Maia'],1,No
1579,Ben Hope,"[""The Alchemist's Secret""]",1,No
1580,Ravenspire,['The Shadow Queen'],1,No
1581,Cradle,"['Unsouled', 'Soulsmith', 'Underlord']",3,Yes
1582,Ravenloft,"['Vampire of the Mists', 'Death of a Darklord']",2,No
1583,Slightly,"['Slightly Settled', 'Slightly Single']",2,No
1584,The Song of Albion,"['The Paradise War', 'The Silver Hand']",2,Yes
1585,Dean Koontz's Frankenstein,"['Dead and Alive', 'Lost Souls', 'City of Night']",3,Yes
1586,Lucifer Box,['The Vesuvius Club'],1,Yes
1587,InterWorld,['InterWorld'],1,Yes
1588,Marked,"['Eve of Chaos', 'Eve of Destruction', 'Eve of Darkness']",3,Yes
1589,Travis Chase,"['The Breach', 'Deep Sky']",2,No
1590,Hidden Wings,['Hidden Wings'],1,Yes
1591,Zombie Apocalypse!,['Zombie Apocalypse!'],1,Yes
1592,Escorted,['Escorted'],1,Yes
1593,Kara Gillian,"['Touch of the Demon', 'Secrets of the Demon', 'Sins of the Demon', 'Mark of the Demon', 'Blood of the Demon']",5,Yes
1594,Bloodmark Saga,['Bloodmark'],1,No
1595,Paige Alder,['Paige Torn'],1,Yes
1596,The Surrender Trilogy,"['Coming Home', 'Breaking Out']",2,No
1597,Forgotten Legion Chronicles,['The Forgotten Legion'],1,No
1598,Big Rock,['Big Rock'],1,No
1599,The Queens of Renthia,['The Queen of Blood'],1,Yes
1600,Willa,['Willa of the Wood'],1,No
1601,Enchantee,['Enchantee'],1,Yes
1602,Market of Monsters,['Not Even Bones'],1,Yes
1603,Romantic Suspense,"['Scream for Me', 'Kill For Me', 'Die For Me', ""You Can't Hide"", ""Don't Tell"", 'Edge of Darkness', 'Nothing To Fear']",7,Yes
1604,Gaunt's Ghosts,['First and Only'],1,Yes
1605,Marty and Grace,['Cryptid Hunters'],1,No
1606,Pathfinder,"['Pathfinder', 'Ruins']",2,No
1607,Graveyard Queen,['The Restorer'],1,No
1608,Colters' Legacy,"[""Colters' Lady"", ""Colters' Woman""]",2,Yes
1609,Allie Beckstrom,"['Magic to the Bone', 'Magic in the Shadows']",2,Yes
1610,Rootless,['Rootless'],1,Yes
1611,Madly,['Madly'],1,No
1612,The Books of Elsewhere,['The Shadows'],1,No
1613,The Lotus Wars,"['Kinslayer', 'Endsinger']",2,No
1614,Into the Deep,['Into the Deep'],1,Yes
1615,The Tales of Dunk and Egg,['The Hedge Knight'],1,No
1616,African Immortals,"['The Living Blood', 'My Soul to Keep']",2,No
1617,Royally,"['Royally Screwed', 'Royally Matched']",2,No
1618,Vincent Ettrich,['Glass Soup'],1,Yes
1619,Dread Nation,['Dread Nation'],1,Yes
1620,Girls of Paper and Fire,['Girls of Paper and Fire'],1,Yes
1621,The Corescu Chronicles,['The Judging'],1,Yes
1622,Peyton Place,['Peyton Place'],1,No
1623,Chronicles of the Raven,"['Dawnthief', 'Nightchild', 'Noonshade']",3,Yes
1624,The Agency,"['The Traitor in the Tunnel', 'A Spy in the House', 'The Body at the Tower']",3,Yes
1625,Cheela,"[""Dragon's Egg""]",1,Yes
1626,Florence & Giles,['Florence & Giles'],1,No
1627,The Velesi Trilogy,['The Binding'],1,No
1628,Grania O'Neill,['Deafening'],1,Yes
1629,Country Saga,"['Fire Country', 'Ice Country']",2,No
1630,Jamison Valley,"['The Coppersmith Farmhouse', 'The Bitterroot Inn', 'The Lucky Heart', 'The Clover Chapel', 'The Outpost']",5,No
1631,Coda Books,"['Promises', 'Strawberries for Dessert']",2,Yes
1632,Theodosia Throckmorton,"['Theodosia and the Eyes of Horus', 'Theodosia and the Staff of Osiris', 'Theodosia and the Serpents of Chaos', 'Theodosia and the Last Pharaoh']",4,No
1633,The Willoughbys,['The Willoughbys'],1,No
1634,The Raven Saga,['Raven'],1,Yes
1635,Princess,"['The Decoy Princess', 'Princess at Sea', 'The Stepsister Scheme']",3,No
1636,Blacktop Cowboys,['Saddled and Spurred'],1,No
1637,Nightwatchers,"['Dark Kiss', 'Wicked Kiss']",2,Yes
1638,Merlin,"['The Lost Years of Merlin', 'The Seven Songs of Merlin', 'The Mirror of Merlin', 'The Fires of Merlin', 'The Wings of Merlin']",5,Yes
1639,Hadassah,['Hadassah: One Night with the King'],1,Yes
1640,Travelers,['Parallel'],1,No
1641,The Moreno Brothers,"['Forever Mine', 'Always Been Mine']",2,Yes
1642,Mageborn,"['The Archmage Unbound', 'The Line of Illeniel', ""The Blacksmith's Son"", 'The Final Redemption']",4,No
1643,Freedman/Johnson,['Yellow Crocus'],1,Yes
1644,Guardians,"['The Girl', 'The Fallout']",2,No
1645,Chronicles of the Fallen,['Fallen'],1,No
1646,The Chronicles of the Imaginarium Geographica,"['Here, There Be Dragons']",1,Yes
1647,Braddock-Black,"['Blaze', 'A Seductive Flame']",2,Yes
1648,Rat Queens (Collected Volumes),"[""The Far Reaching Tentacles of N'rygoth""]",1,No
1649,Bill Hodges Trilogy,['End of Watch'],1,Yes
1650,Tensorate,['The Black Tides of Heaven'],1,No
1651,Daughter of the Pirate King,['Daughter of the Pirate King'],1,Yes
1652,Lark Cove,['Tattered'],1,Yes
1653,Sign of Seven,"['Blood Brothers', 'The Pagan Stone', 'The Hollow']",3,No
1654,Valdemar: Owl Mage Trilogy,"['Owlflight', 'Owlknight', 'Owlsight']",3,Yes
1655,13 to Life,['13 to Life'],1,Yes
1656,MacLean Curse,"['Sleepless in Scotland', 'How to Abduct a Highland Lord']",2,No
1657,Moscow Trilogy,"['Sashenka', 'One Night in Winter']",2,No
1658,Lucy Valentine,"['Truly, Madly', 'Deeply, Desperately', 'Absolutely, Positively', 'Perfectly Matched']",4,Yes
1659,Inn BoonsBoro Trilogy,"['The Next Always', 'The Perfect Hope', 'The Last Boyfriend']",3,No
1660,Subjective Cosmology,"['Permutation City', 'Quarantine']",2,No
1661,Artefacts of Power,['Aurian'],1,No
1662,True Believers,['True'],1,No
1663,Tiny Pretty Things,['Tiny Pretty Things'],1,Yes
1664,Alice 19th,"['Alice 19th, Vol. 3']",1,No
1665,Empirium,['Furyborn'],1,No
1666,The Yara Silva Trilogy,['Intrinsical'],1,No
1667,Yearbook Trilogy,"['Yearbook', 'Reunion']",2,No
1668,Crispin,['The Cross of Lead'],1,Yes
1669,The Children of Nox,['I Am Wolf'],1,Yes
1670,Guardian Trilogy,"['Fallen', 'Eternity']",2,Yes
1671,The Russian Concubine,['The Russian Concubine'],1,No
1672,Everlife,['Firstlife'],1,Yes
1673,The Start of Me and You,['The Start of Me and You'],1,No
1674,Teen Titans,['Teen Titans: Raven'],1,Yes
1675,Front Lines,"['Front Lines', 'Silver Stars']",2,No
1676,ConSentiency Universe,['The Dosadi Experiment'],1,No
1677,"Rich Man, Poor Man","['Rich Man, Poor Man']",1,No
1678,Mortal Coils,"['Mortal Coils', 'All That Lives Must Die']",2,No
1679,The Montmaray Journals,"['The FitzOsbornes in Exile', 'The FitzOsbornes at War', 'A Brief History of Montmaray']",3,Yes
1680,Drake Sisters,"['Safe Harbor', 'Hidden Currents', 'Dangerous Tides', 'Turbulent Sea']",4,Yes
1681,The Dagger and the Coin,"[""The King's Blood"", ""The Spider's War"", ""The Dragon's Path""]",3,Yes
1682,The Vampires of Vegas,['Reign of Blood'],1,No
1683,Dante Walker,['The Collector'],1,No
1684,Lies Beneath,"['Lies Beneath', 'Deep Betrayal', 'Promise Bound']",3,No
1685,McCabe Trilogy,"['In Bed with a Highlander', 'Never Love a Highlander']",2,No
1686,Shadows Inquiries,"['Sins & Shadows', 'Ghosts & Echoes', 'Gods & Monsters', 'Lies & Omens']",4,Yes
1687,Wendy Darling,['Stars'],1,Yes
1688,Walker Papers,"['Urban Shaman', 'Spirit Dances', 'Demon Hunts', 'Raven Calls', 'Mountain Echoes', 'Shaman Rises', 'Thunderbird Falls', 'Coyote Dreams', 'Walking Dead']",9,Yes
1689,Magic Shop,"['Jeremy Thatcher, Dragon Hatcher', 'The Skull of Truth']",2,No
1690,The Sword of Lyric,"['The Restorer', ""The Restorer's Journey""]",2,No
1691,Confectionately Yours,['Save the Cupcake!'],1,Yes
1692,Eden Trilogy,['Eternal Eden'],1,Yes
1693,The Shadow Society,['The Shadow Society'],1,No
1694,The Books of Magic,['The Books of Magic'],1,No
1695,The Grimm Legacy,['The Grimm Legacy'],1,No
1696,Something Real,['Something Real'],1,No
1697,Countermeasure,"['To Russia With Love', 'Countermeasure']",2,Yes
1698,Mackenzie Family,"[""Mackenzie's Pleasure"", ""Mackenzie's Mission"", ""Mackenzie's Mountain"", 'A Game of Chance']",4,Yes
1699,The Ever Afters,['Of Giants and Ice'],1,No
1700,The City,['Mordacious'],1,No
1701,Fairwick Chronicles,"['The Demon Lover', 'The Angel Stone', 'The Water Witch']",3,Yes
1702,Cynster,"[""Devil's Bride"", 'All About Passion', 'A Secret Love', ""Scandal's Bride"", ""A Rake's Vow"", 'On a Wild Night', 'All About Love', 'On a Wicked Dawn']",8,No
1703,Manifold,"['Time', 'Manifold: Space']",2,Yes
1704,Alien Shores,['This Alien Shore'],1,Yes
1705,Doctrine of Labyrinths,"['Melusine', 'Corambis', 'The Mirador', 'The Virtu']",4,No
1706,The Edge Chronicles: The Twig Saga,['The Edge Chronicles 6: Midnight Over Sanctaphrax: Third Book of Twig'],1,Yes
1707,Buffy the Vampire Slayer: Season 3,"['The Book of Fours', 'Immortal', 'Revenant', 'Power of Persuasion']",4,No
1708,Menagerie,"['Menagerie', 'The Menagerie']",2,Yes
1709,Glitch,['Glitch'],1,Yes
1710,Filthy Beautiful Lies,['Filthy Beautiful Lies'],1,No
1711,Touchstone,['Stray'],1,No
1712,The Dwellers,"['The Earth Dwellers', 'The Star Dwellers', 'The Moon Dwellers', 'The Sun Dwellers']",4,Yes
1713,Blandings Castle,['Full Moon'],1,Yes
1714,The Compound,"['The Compound', 'The Fallout']",2,Yes
1715,Embassy Row,"['Take the Key and Lock Her Up', 'See How They Run']",2,Yes
1716,The Demon's Lexicon,"[""The Demon's Lexicon"", ""The Demon's Covenant"", ""The Demon's Surrender""]",3,No
1717,Thrillogy,['Wish You Were Dead'],1,No
1718,Lace,['Lace'],1,No
1719,Violet Eyes,['Through Violet Eyes'],1,Yes
1720,Camille,['Camille'],1,Yes
1721,Dan and Elle,['Dirty'],1,No
1722,Dragon Keeper,"['Dragon Keeper', 'Garden of the Purple Dragon']",2,Yes
1723,Goddess War,['Antigoddess'],1,Yes
1724,Never Been,['Never Been Kissed'],1,Yes
1725,The Traitor's Circle,"[""The Traitor's Kiss"", ""The Traitor's Ruin""]",2,No
1726,Crave,"['Crave', 'Crave']",2,No
1727,The Legends of Camber of Culdi,['Camber of Culdi'],1,Yes
1728,Only,['Only His'],1,Yes
1729,Jolie Wilkins,"['Fire Burn and Cauldron Bubble', 'Toil and Trouble', 'Witchful Thinking', 'The Witch Is Back']",4,Yes
1730,de Piaget,"['This Is All I Ask', 'Dreams of Stardust', 'The More I See You', 'Stardust of Yesterday', 'From This Moment On', 'Another Chance to Dream']",6,No
1731,The Ballantyne Legacy,"[""Love's Reckoning""]",1,Yes
1732,Apple Lake Amish,"[""Kate's Song""]",1,No
1733,Nashville Assassins,"['Taking Shots', 'Falling for the Backup', 'Empty Net']",3,Yes
1734,Vintner's Luck,"[""The Vintner's Luck""]",1,No
1735,Star Wars: The Old Republic (Publication Order),['Annihilation'],1,No
1736,North America's Forgotten Past,"['People of the Wolf', 'People of the Fire', 'People of the Earth', 'People of the Owl', 'People of the Sea', 'People of the Lightning', 'People of the Lakes', 'People of the Raven', 'People of the River']",9,Yes
1737,Faking Normal,['Faking Normal'],1,Yes
1738,The Diaries of the Family Dracul,"['Covenant with the Vampire', 'Hijos del vampiro']",2,No
1739,Wall and the Wing,"['The Wall and the Wing', 'The Chaos King']",2,Yes
1740,The Ancient Future,['The Dark Age'],1,No
1741,All Torn Up,"['Tied', 'Torn']",2,Yes
1742,Letters to the Lost,['More Than We Can Tell'],1,Yes
1743,Dark Heavens,['White Tiger'],1,No
1744,The Carpetbaggers,['The Carpetbaggers'],1,No
1745,Dream Trilogy,"['Holding the Dream', 'Daring to Dream']",2,No
1746,The Android's Dream,"[""The Android's Dream""]",1,Yes
1747,Princess for Hire,['Princess for Hire'],1,No
1748,Faeries of Dreamdark,['Blackbringer'],1,No
1749,At Tiffany's,"[""Christmas at Tiffany's""]",1,Yes
1750,Beau Rivage,['Kill Me Softly'],1,No
1751,The Staff and the Sword,"[""The Hero's Lot"", 'A Cast of Stones']",2,Yes
1752,Books of Blood,['Books of Blood: Volume One'],1,No
1753,Miss Peregrine's Peculiar Children Graphic Novels,"[""Miss Peregrine's Home for Peculiar Children: The Graphic Novel"", 'Hollow City']",2,Yes
1754,Five Nights at Freddy's,"['The Silver Eyes', 'The Twisted Ones']",2,No
1755,Ciclo Drenai (chronological order),"['Morningstar', 'Knights of Dark Renown']",2,No
1756,Wimpy Vampire,['Diary of a Wimpy Vampire'],1,Yes
1757,Victorian Hearts,['The Shadow and the Star'],1,Yes
1758,Lauren Holbrook,['Miss Match'],1,No
1759,The Artists Trilogy,"['Sins & Needles', 'Bold Tricks']",2,No
1760,At the Cupcake Cafe,['Meet Me at the Cupcake Cafe'],1,No
1761,Newsoul,"['Incarnate', 'Asunder']",2,No
1762,Judge Me Not,['I Stand Before You'],1,Yes
1763,Nearly Boswell,"['Nearly Gone', 'Nearly Found']",2,No
1764,Reign of Shadows,['Reign of Shadows'],1,Yes
1765,Grey Land,['The Call'],1,No
1766,The School for Good and Evil: The Camelot Years,"['One True King', 'A Crystal of Time']",2,Yes
1767,Graveminder,['Graveminder'],1,No
1768,Day by Day Armageddon,"['Day by Day Armageddon', 'Beyond Exile']",2,Yes
1769,Riverside Trilogy,['Kitchen Affairs'],1,Yes
1770,Sexual Education,['Taint'],1,Yes
1771,Dear Diary,['Remember Me'],1,No
1772,The Black Witch Chronicles,"['The Black Witch', 'The Iron Flower', 'The Shadow Wand']",3,No
1773,The Chronicles of the Deryni,['Deryni Rising'],1,Yes
1774,Black Swan Rising,"['Black Swan Rising', 'The Watchtower']",2,Yes
1775,Dark Secrets,"[""The Heart's Ashes"", 'Legacy of Lies', 'The Back Door of Midnight', 'Dark Secrets']",4,No
1776,Darkness Falls,['Darkness Breaks'],1,Yes
1777,Tao,['The Lives of Tao'],1,Yes
1778,Blood of Kings,"['To Darkness Fled', 'By Darkness Hid', 'From Darkness Won']",3,Yes
1779,The Shadow Game,['Ace of Shades'],1,Yes
1780,Dina,"[""Dina's Book""]",1,Yes
1781,Buffy the Vampire Slayer: Season 8,"['Buffy the Vampire Slayer: The Long Way Home', 'Buffy the Vampire Slayer: Twilight', 'Buffy the Vampire Slayer: Wolves at the Gate']",3,Yes
1782,The Persimmon Tree,['The Persimmon Tree'],1,Yes
1783,The Forsaken,['The Forsaken'],1,No
1784,Druids,['Druids'],1,Yes
1785,Saving Mars,['Saving Mars'],1,Yes
1786,The Familiars,['The Familiars'],1,No
1787,Three Acts of Penance,['Attrition: the First Act of Penance'],1,Yes
1788,53 Letters for My Lover,['53 Letters for My Lover'],1,Yes
1789,Negotiator Trilogy/Old Races Universe,"['Heart of Stone', 'Hands of Flame', 'House of Cards']",3,No
1790,Wicked in Wellington,"[""The Boat Builder's Bed""]",1,No
1791,Cardcaptor Sakura,"['Cardcaptor Sakura, Vol. 1', 'Cardcaptor Sakura: Master of the Clow, Vol. 1']",2,No
1792,Belmont Mansion,['A Lasting Impression'],1,Yes
1793,Darkness Before Dawn Trilogy,['Darkness Before Dawn'],1,Yes
1794,Magids,['Deep Secret'],1,No
1795,Canadian West,"['When Calls the Heart', 'When Hope Springs New', 'When Comes the Spring', 'When Breaks the Dawn']",4,Yes
1796,The Rising,['The Rising'],1,No
1797,MacKinnon's Rangers,"['Surrender', 'Untamed', 'Defiant']",3,Yes
1798,The Untold Stories of Neverland Book,"['Hook', 'Pan']",2,Yes
1799,Nerd,"['The Summer I Became a Nerd', 'Romancing the Nerd']",2,No
1800,Blackthorn & Grim,"[""Dreamer's Pool"", 'Den of Wolves', 'Tower of Thorns']",3,Yes
1801,The Black Angel Chronicles,"[""You Don't Know My Name""]",1,No
1802,TekWar,['TekWar'],1,Yes
1803,Dark Ages of Britain,['The Road to Avalon'],1,No
1804,Hellsing,"['Hellsing, Vol. 01']",1,Yes
1805,The Final Formula,"['The Final Formula', 'The Blood Alchemist']",2,No
1806,Dangerous Creatures,"['Dangerous Creatures', 'Dangerous Deception']",2,Yes
1807,Katie Weldon,"['Peculiar Treasures', 'On a Whim', 'Coming Attractions', 'Finally and Forever']",4,Yes
1808,Stainless Steel Rat (Publication Order),['The Stainless Steel Rat'],1,No
1809,The Rev. Clare Fergusson & Russ Van Alstyne Mysteries,['Out of the Deep I Cry'],1,No
1810,Apprentice Adept,"['Split Infinity', 'Blue Adept', 'Phaze Doubt', 'Unicorn Point', 'Robot Adept']",5,Yes
1811,Dangerous Times,['Nightmare'],1,Yes
1812,The Shadow Demons Saga,"['Rival Demons', 'Shadow Demons']",2,No
1813,Carrier,['Carrier of the Mark'],1,No
1814,"Ashes, Ashes","['Ashes, Ashes']",1,No
1815,"Enchanted, Inc.","[""Don't Hex with Texas"", 'Enchanted, Inc.', 'Once Upon Stilettos', 'Damsel Under Stress', 'Much Ado About Magic', 'Kiss and Spell', 'No Quest For The Wicked']",7,Yes
1816,Georgian,"['Ask For It', 'Silent Melody', ""Don't Tempt Me"", 'Passion for the Game', 'A Passion for Him']",5,No
1817,The Sandman Omnibus,"['The Sandman Omnibus, Vol. 1', 'The Sandman Omnibus, Vol. 2']",2,No
1818,The Pathfinders,"[""The Wood's Edge""]",1,No
1819,Tyme,['Grounded: The Adventures of Rapunzel'],1,No
1820,Lady Julia Grey,"['Silent in the Grave', 'Silent in the Sanctuary', 'The Dark Enquiry']",3,No
1821,Jane True,['Tempest Rising'],1,Yes
1822,Saga of the First King,['The Highwayman'],1,Yes
1823,Morningstar Strain,"['Plague of the Dead', 'Thunder and Ashes']",2,No
1824,Ladies of Distinction,"['A Change of Fortune', 'A Match of Wits', 'A Talent for Trouble']",3,Yes
1825,Yi Jia Yu ri / A Bride's Story,"[""A Bride's Story, Vol. 1""]",1,Yes
1826,Cuts Like an Angel,['Cuts Like An Angel'],1,No
1827,The Very Nearly Honorable League of Pirates,"['Magic Marks the Spot', 'The Terror of the Southlands']",2,No
1828,Hetty Feather,"['Sapphire Battersea', 'Emerald Star']",2,No
1829,The Hawk Queen,"[""Ironhand's Daughter"", 'The Hawk Eternal']",2,No
