,saga,books,number,finished
84,Sword of Truth,"[""Wizard's First Rule"", 'Faith of the Fallen', 'Stone of Tears', 'Temple of the Winds', 'Blood of the Fold', 'Soul of the Fire', 'Chainfire', 'Confessor', 'Phantom', 'Naked Empire', 'The Pillars of Creation']",11,Yes
85,Gemma Doyle,"['A Great and Terrible Beauty', 'Rebel Angels', 'The Sweet Far Thing']",3,No
86,Crossfire,"['Bared to You', 'Reflected in You', 'Entwined with You', 'Captivated by You', 'One with You']",5,Yes
87,Lives of the Mayfair Witches,"['The Witching Hour', 'Taltos', 'Lasher']",3,No
88,Darkest Powers,"['The Summoning', 'The Awakening', 'The Reckoning']",3,Yes
89,Chocolat,"['Chocolat', 'The Girl with No Shadow', 'Peaches for Father Francis']",3,No
90,Night Huntress,"['Halfway to the Grave', 'One Foot in the Grave', ""At Grave's End"", 'Destined for an Early Grave', 'This Side of the Grave', 'One Grave at a Time']",6,No
91,Perfect Chemistry,"['Perfect Chemistry', 'Rules of Attraction', 'Chain Reaction']",3,Yes
92,Red Queen,"['Red Queen', 'Glass Sword', ""King's Cage"", 'War Storm']",4,Yes
93,Space Odyssey,"['2001: A Space Odyssey', '2010: Odyssey Two', '2061: Odyssey Three', '3001: The Final Odyssey']",4,No
94,All Souls Trilogy,"['A Discovery of Witches', 'Shadow of Night', 'The Book of Life']",3,Yes
95,Dark-Hunter,"['Acheron', 'Dance with the Devil', 'Night Play', 'Night Pleasures', 'Night Embrace', 'Devil May Cry', 'Unleash the Night', 'Seize the Night', 'Dark Side of the Moon', 'Sins of the Night', 'The Dream Hunter', 'Upon the Midnight Clear']",12,No
96,Mara Dyer,"['The Unbecoming of Mara Dyer', 'The Evolution of Mara Dyer', 'The Retribution of Mara Dyer']",3,No
97,The Lord of the Rings,"['The Return of the King', 'The Two Towers']",2,Yes
98,Lorien Legacies,"['I Am Number Four', 'The Power of Six', 'The Rise of Nine', 'The Fall of Five', 'The Revenge of Seven', 'The Fate of Ten', 'United as One']",7,No
99,Penryn & the End of Days,"['Angelfall', 'World After', 'End of Days']",3,Yes
100,The Bronze Horseman,"['The Bronze Horseman', 'Tatiana and Alexander', 'The Summer Garden']",3,No
101,The Old Kingdom,['Sabriel'],1,Yes
102,The Books of Bayern,"['The Goose Girl', 'Enna Burning', 'River Secrets', 'Forest Born']",4,Yes
103,The Darkest Minds,"['The Darkest Minds', 'Never Fade', 'In The Afterlight']",3,Yes
104,Wicked Lovely,"['Wicked Lovely', 'Ink Exchange', 'Fragile Eternity', 'Radiant Shadows', 'Darkest Mercy']",5,No
105,P.S. I Love You,['P.S. I Love You'],1,Yes
106,The Christmas Books,"['A Christmas Carol', 'The Chimes']",2,Yes
107,The Last Unicorn,['The Last Unicorn'],1,No
108,Slammed,"['Slammed', 'Point of Retreat', 'This Girl']",3,Yes
109,Hyperion Cantos,"['Hyperion', 'The Fall of Hyperion', 'The Rise of Endymion', 'Endymion']",4,Yes
110,The Raven Cycle,"['The Raven Boys', 'The Dream Thieves', 'The Raven King', 'Blue Lily, Lily Blue']",4,No
111,Ender's Saga,"['Speaker for the Dead', 'Xenocide', 'Children of the Mind']",3,Yes
112,The Kane Chronicles,"['The Red Pyramid', 'The Throne of Fire', ""The Serpent's Shadow""]",3,No
113,Anne of Green Gables,"['Anne of Avonlea', 'Anne of the Island', ""Anne's House of Dreams"", 'Rilla of Ingleside', 'Anne of Windy Poplars', 'Anne of Ingleside', 'Rainbow Valley']",7,Yes
114,Poison Study,"['Poison Study', 'Magic Study', 'Fire Study']",3,No
115,Thursday Next,"['The Eyre Affair', 'The Well of Lost Plots', 'Lost in a Good Book', 'Something Rotten', 'First Among Sequels', 'One of Our Thursdays Is Missing']",6,No
116,The Talisman,"['The Talisman', 'Black House']",2,Yes
117,Chaos Walking,['The Knife of Never Letting Go'],1,No
118,Fever,"['Shadowfever', 'Darkfever', 'Dreamfever', 'Bloodfever', 'Iced', 'Feversong', 'Burned']",7,No
119,Gone,"['Gone', 'Lies', 'Fear', 'Hunger', 'Plague', 'Light']",6,No
120,Song of the Lioness,"['Alanna: The First Adventure', 'Lioness Rampant', 'The Woman Who Rides Like a Man', 'In the Hand of the Goddess']",4,Yes
121,Stephanie Plum,"['One for the Money', 'High Five', 'Eleven on Top', 'To the Nines', 'Three to Get Deadly', 'Two for the Dough', 'Four to Score', 'Twelve Sharp', 'Hard Eight', 'Seven Up', 'Hot Six', 'Lean Mean Thirteen', ""Smokin' Seventeen"", 'Explosive Eighteen', ""Finger Lickin' Fifteen"", 'Ten Big Ones', 'Fearless Fourteen', 'Sizzling Sixteen', 'Notorious Nineteen']",19,Yes
122,Earthsea Cycle,"['A Wizard of Earthsea', 'The Tombs of Atuan', 'The Farthest Shore', 'Tehanu', 'Tales from Earthsea', 'The Other Wind']",6,Yes
123,The Farseer Trilogy,"[""Assassin's Apprentice"", 'Royal Assassin', ""Assassin's Quest""]",3,Yes
124,MaddAddam,"['Oryx and Crake', 'The Year of the Flood', 'MaddAddam']",3,No
125,Discworld,"['Night Watch', 'The Color of Magic', 'Small Gods', 'Mort', 'Hogfather', 'Going Postal', 'Guards! Guards!', 'Reaper Man', 'The Wee Free Men', 'Thud!', 'The Light Fantastic', 'Equal Rites', 'Soul Music', 'Monstrous Regiment', 'Wyrd Sisters', 'The Fifth Elephant', 'Witches Abroad', 'Feet of Clay', 'Thief of Time', 'The Truth', 'The Amazing Maurice and His Educated Rodents', 'Moving Pictures', 'Carpe Jugulum', 'Men at Arms', 'Maskerade', 'Wintersmith', 'Making Money', 'Pyramids', 'Jingo', 'A Hat Full of Sky', 'Lords and Ladies', 'Snuff', 'The Last Hero', 'I Shall Wear Midnight', 'The Last Continent', 'Eric', 'Sourcery', 'Interesting Times', 'Unseen Academicals', ""The Shepherd's Crown""]",40,No
126,Gentleman Bastard,"['The Lies of Locke Lamora', 'Red Seas Under Red Skies', 'The Republic of Thieves']",3,Yes
127,Gallagher Girls,"[""I'd Tell You I Love You, But Then I'd Have to Kill You""]",1,No
128,Sisterhood,"['The Sisterhood of the Traveling Pants', 'The Second Summer of the Sisterhood', 'Sisterhood Everlasting', 'Forever in Blue: The Fourth Summer of the Sisterhood', 'Girls in Pants: The Third Summer of the Sisterhood']",5,Yes
129,The Morganville Vampires,"['Glass Houses', ""The Dead Girls' Dance"", 'Lord of Misrule', 'Midnight Alley', 'Feast of Fools', 'Carpe Corpus', 'Fade Out', 'Kiss of Death', 'Ghost Town', 'Bite Club', 'Last Breath', 'Black Dawn', 'Bitter Blood', 'Fall of Night', 'Daylighters']",15,Yes
130,Shopaholic,"['Confessions of a Shopaholic', 'Shopaholic & Baby', 'Shopaholic Takes Manhattan', 'Shopaholic Ties the Knot', 'Shopaholic and Sister', 'Mini Shopaholic', 'Shopaholic to the Stars']",7,No
131,Odd Thomas,"['Odd Thomas', 'Forever Odd', 'Odd Hours', 'Saint Odd', 'Brother Odd']",5,No
132,The Edge of Never,"['The Edge of Never', 'The Edge of Always']",2,Yes
133,Waverley Novels,['Ivanhoe'],1,No
134,Simon Snow,"['Carry On', 'Wayward Son']",2,Yes
135,The Shadow Series,"[""Ender's Shadow"", 'Shadow of the Hegemon', 'Shadow Puppets', 'Shadow of the Giant', 'Shadows in Flight']",5,Yes
136,St. Leibowitz,['A Canticle for Leibowitz'],1,Yes
137,Red Rising Saga,"['Red Rising', 'Golden Son', 'Morning Star', 'Iron Gold']",4,No
138,To All the Boys I've Loved Before,"[""To All the Boys I've Loved Before"", 'P.S. I Still Love You', 'Always and Forever, Lara Jean']",3,No
139,Mary Poppins,"['Mary Poppins', 'Mary Poppins Comes Back', 'Mary Poppins in Cherry Tree Lane', 'Mary Poppins in the Park', 'Mary Poppins Opens the Door']",5,No
140,The Passage,"['The Passage', 'The Twelve', 'The City of Mirrors']",3,Yes
141,Gabriel's Inferno,"[""Gabriel's Inferno"", ""Gabriel's Rapture"", ""Gabriel's Redemption""]",3,Yes
142,Extraordinary Voyages,"['Around the World in Eighty Days', 'The Lottery Ticket', 'The Adventures of Captain Hatteras']",3,Yes
143,Sevenwaters,"['Daughter of the Forest', 'Son of the Shadows', 'Child of the Prophecy', 'Heir to Sevenwaters', 'Seer of Sevenwaters', 'Flame of Sevenwaters']",6,No
144,"Anita Blake, Vampire Hunter","['Guilty Pleasures', 'Circus of the Damned', 'Blue Moon', 'Obsidian Butterfly', 'The Killing Dance', 'The Laughing Corpse', 'Narcissus in Chains', 'Bloody Bones', 'Burnt Offerings', 'The Lunatic Cafe', 'Danse Macabre', 'The Harlequin', 'Incubus Dreams', 'Cerulean Sins', 'Micah', 'Blood Noir', 'Skin Trade', 'Flirt', 'Bullet', 'Hit List']",20,Yes
145,Book of Ember,"['The City of Ember', 'The People of Sparks', 'The Diamond of Darkhold', 'The Prophet of Yonwood']",4,Yes
146,Creekwood,"['Simon vs. the Homo Sapiens Agenda', 'Leah on the Offbeat']",2,Yes
147,Bartimaeus,"['The Amulet of Samarkand', ""Ptolemy's Gate"", ""The Golem's Eye""]",3,No
148,Crank,"['Crank', 'Glass', 'Fallout']",3,Yes
149,The Shadow and Bone Trilogy,"['Shadow and Bone', 'Siege and Storm', 'Ruin and Rising']",3,No
150,"Will Grayson, Will Grayson","['Will Grayson, Will Grayson', 'Hold Me Closer: The Tiny Cooper Story']",2,No
151,Thoughtless,['Thoughtless'],1,Yes
152,Fablehaven,"['Fablehaven', 'Rise of the Evening Star', 'Secrets of the Dragon Sanctuary', 'Grip of the Shadow Plague', 'Keys to the Demon Prison']",5,Yes
153,Contours of the Heart,"['Easy', 'Breakable', 'Sweet']",3,No
154,Hunter Legends,['Fantasy Lover'],1,Yes
